dispnum,ord_incidnum,stabb,ccode,stday,stmon,styear,endday,endmon,endyear,insidea,sidea,fatality,fatalpre,action,hostlev,revtype1,revtype2,version,incidnum
3561,3561016,RUS,365,17,3,1993,17,3,1993,0,1,-9,-9,0,1,0,0,5,3561016
3561,3561017,GRG,372,18,3,1993,18,3,1993,0,0,0,0,0,1,0,0,5,3561017
3561,3561017,RUS,365,18,3,1993,18,3,1993,1,1,0,0,1,2,2,0,5,3561017
3561,3561018,GRG,372,19,3,1993,19,3,1993,0,0,0,0,0,1,0,0,5,3561018
3561,3561018,RUS,365,19,3,1993,19,3,1993,1,1,0,0,12,3,2,1,5,3561018
3561,3561019,GRG,372,19,3,1993,19,3,1993,1,0,0,0,16,4,2,0,5,3561019
3561,3561019,RUS,365,19,3,1993,19,3,1993,0,1,1,1,0,1,0,0,5,3561019
3561,3561020,GRG,372,1,4,1993,1,4,1993,1,0,-9,-9,17,4,2,0,5,3561020
3561,3561020,RUS,365,1,4,1993,1,4,1993,0,1,-9,-9,17,4,2,0,5,3561020
3561,3561021,GRG,372,2,4,1993,2,4,1993,0,0,0,0,0,1,0,0,5,3561021
3561,3561021,RUS,365,2,4,1993,2,4,1993,1,1,0,0,1,2,2,0,5,3561021
3561,3561022,GRG,372,1,7,1993,1,7,1993,0,0,-9,-9,17,4,2,0,5,3561022
3561,3561022,RUS,365,1,7,1993,1,7,1993,1,1,1,10,17,4,2,0,5,3561022
3561,3561023,GRG,372,2,7,1993,2,7,1993,0,0,0,0,0,1,0,0,5,3561023
3561,3561023,RUS,365,2,7,1993,2,7,1993,1,1,0,0,12,3,2,0,5,3561023
3561,3561024,GRG,372,3,7,1993,3,7,1993,0,0,-9,-9,0,1,0,0,5,3561024
3561,3561024,RUS,365,3,7,1993,3,7,1993,1,1,-9,-9,16,4,2,0,5,3561024
3561,3561025,GRG,372,26,10,1993,26,10,1993,1,0,0,0,16,4,2,0,5,3561025
3561,3561025,RUS,365,26,10,1993,26,10,1993,0,1,0,0,0,1,0,0,5,3561025
3561,3561026,GRG,372,26,10,1993,26,10,1993,0,0,0,0,0,1,0,0,5,3561026
3561,3561026,RUS,365,26,10,1993,26,10,1993,1,1,0,0,7,3,2,0,5,3561026
3564,3564001,ARM,371,26,1,1992,26,1,1992,1,1,-9,-9,17,4,1,0,5,3564001
3564,3564001,AZE,373,26,1,1992,26,1,1992,0,0,2,60,17,4,1,0,5,3564001
3564,3564002,ARM,371,2,2,1992,23,2,1992,1,1,-9,-9,17,4,1,0,5,3564002
3564,3564002,AZE,373,2,2,1992,23,2,1992,0,0,1,9,17,4,1,0,5,3564002
3564,3564003,ARM,371,26,2,1992,7,3,1992,1,1,2,100,17,4,1,0,5,3564003
3564,3564003,AZE,373,26,2,1992,7,3,1992,0,0,2,100,17,4,1,0,5,3564003
3564,3564004,ARM,371,23,4,1992,26,4,1992,1,1,1,10,17,4,1,0,5,3564004
3564,3564004,AZE,373,23,4,1992,26,4,1992,0,0,-9,-9,17,4,1,0,5,3564004
3564,3564005,ARM,371,4,5,1992,4,5,1992,1,1,2,40,17,4,1,0,5,3564005
3564,3564005,AZE,373,4,5,1992,4,5,1992,0,0,1,3,17,4,1,0,5,3564005
3564,3564006,ARM,371,8,5,1992,8,5,1992,1,1,-9,-9,17,4,1,0,5,3564006
